Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
10113,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2045.0,6161.921,6156.188,3162.334,2993.854,9013.452,105.628,47.957,-21.519,-3.495,-11.467,-0.186,...,32.576,0.295,5.292,1.119,0.541,32.291,106.1,54.095,29.068,25.028,8.787,86.494,84.21,88.881,71.655,69.393,74.017,23.541,21.701,25.346,11.629,10.442,12.634,0.037,1.14,32.544,0.048,1.453,7.24,9.345,4.977,37.033,47.159,25.359,13.503,17.363,9,35.166,44.999,23.809,10.047,1.632
10114,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2046.0,6150.454,6143.609,3155.177,2988.433,8995.036,105.58,48.56,-23.106,-3.761,-13.689,-0.223,...,32.177,0.299,5.238,1.127,0.545,32.291,106.1,55.283,29.64,25.643,8.999,86.617,84.341,89.001,71.776,69.521,74.135,23.639,21.802,25.444,11.691,10.504,12.703,0.036,1.117,32.146,0.047,1.424,7.119,9.2,4.889,36.485,46.461,24.929,13.295,17.117,8.856,34.654,44.339,23.411,9.429,1.535
10115,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2047.0,6136.765,6128.164,3146.608,2981.555,8972.422,105.536,49.162,-24.562,-4.008,-17.202,-0.281,...,31.893,0.302,5.204,1.133,0.548,32.291,106.1,56.455,30.213,26.243,9.212,86.734,84.463,89.116,71.889,69.641,74.247,23.731,21.896,25.538,11.75,10.56,12.768,0.035,1.095,31.863,0.045,1.397,7.006,9.068,4.803,35.97,45.813,24.516,13.098,16.889,8.718,34.172,43.726,23.029,7.35,1.199
10116,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2048.0,6119.563,6113.208,3138.274,2974.933,8950.523,105.491,49.752,-25.786,-4.218,-12.711,-0.208,...,31.774,0.303,5.198,1.14,0.552,32.291,106.1,57.56,30.758,26.802,9.416,86.852,84.586,89.234,72.005,69.761,74.363,23.825,21.991,25.635,11.811,10.617,12.836,0.034,1.074,31.745,0.044,1.37,6.894,8.935,4.718,35.455,45.166,24.101,12.899,16.662,8.579,33.69,43.116,22.645,13.079,2.14
10117,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2049.0,6106.852,6098.708,3130.162,2968.546,8929.294,105.444,50.33,-26.723,-4.382,-16.289,-0.267,...,31.872,0.304,5.226,1.146,0.554,32.291,106.1,58.595,31.261,27.333,9.608,86.973,84.714,89.353,72.123,69.886,74.479,23.922,22.09,25.733,11.874,10.678,12.905,0.034,1.053,31.843,0.043,1.343,6.782,8.801,4.635,34.93,44.505,23.691,12.694,16.428,8.441,33.198,42.488,22.263,10.443,1.712
10118,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2050.0,6090.563,6081.691,3120.816,2960.876,8904.38,105.402,50.906,-27.569,-4.533,-17.743,-0.292,...,32.048,0.304,5.27,1.152,0.557,32.291,106.1,59.617,31.767,27.851,9.803,87.086,84.832,89.467,72.234,70.002,74.59,24.013,22.182,25.827,11.935,10.735,12.97,0.033,1.034,32.02,0.042,1.32,6.681,8.681,4.555,34.443,43.905,23.298,12.504,16.216,8.309,32.739,41.919,21.899,9.819,1.614
10119,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2051.0,6072.82,6064.528,3111.392,2953.135,8879.25,105.359,51.472,-28.299,-4.666,-16.584,-0.273,...,32.294,0.301,5.325,1.158,0.56,32.291,106.1,60.593,32.256,28.337,9.991,87.2,84.95,89.581,72.345,70.117,74.702,24.103,22.273,25.921,11.994,10.79,13.036,0.033,1.014,32.266,0.042,1.294,6.576,8.556,4.474,33.947,43.299,22.905,12.312,16.002,8.176,32.275,41.346,21.535,11.718,1.932
10120,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2052.0,6056.236,6050.282,3103.398,2946.884,8858.392,105.311,52.019,-28.952,-4.785,-11.908,-0.197,...,32.555,0.296,5.381,1.161,0.562,32.291,106.1,61.507,32.716,28.791,10.166,87.312,85.067,89.694,72.456,70.232,74.813,24.194,22.365,26.015,12.056,10.848,13.104,0.032,0.998,32.527,0.041,1.274,6.486,8.447,4.404,33.485,42.733,22.546,12.136,15.805,8.056,31.838,40.807,21.2,17.036,2.816
10121,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2053.0,6044.328,6036.534,3095.644,2940.89,8838.264,105.262,52.557,-29.298,-4.853,-15.588,-0.258,...,33.061,0.292,5.477,1.167,0.565,32.291,106.1,62.359,33.146,29.212,10.33,87.43,85.19,89.81,72.57,70.352,74.927,24.289,22.462,26.112,12.119,10.908,13.173,0.032,0.98,33.033,0.041,1.252,6.391,8.332,4.331,32.995,42.142,22.175,11.955,15.6,7.932,31.376,40.246,20.854,13.711,2.271
10122,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2054.0,6028.74,6018.494,3085.774,2932.72,8811.851,105.219,53.102,-29.676,-4.93,-20.491,-0.34,...,33.485,0.285,5.564,1.171,0.566,32.291,106.1,63.161,33.565,29.596,10.494,87.546,85.31,89.929,72.685,70.47,75.044,24.383,22.557,26.212,12.184,10.968,13.245,0.032,0.963,33.457,0.041,1.231,6.297,8.22,4.257,32.51,41.573,21.8,11.777,15.4,7.807,30.917,39.704,20.505,9.192,1.527
10123,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2055.0,6008.249,5999.239,3075.283,2923.956,8783.659,105.175,53.642,-30.006,-5.002,-18.02,-0.3,...,33.979,0.278,5.664,1.18,0.571,32.291,106.1,63.985,34.008,29.977,10.666,87.652,85.418,90.039,72.789,70.576,75.152,24.47,22.642,26.305,12.244,11.022,13.312,0.032,0.95,33.951,0.041,1.214,6.22,8.129,4.195,32.085,41.086,21.474,11.627,15.233,7.699,30.514,39.24,20.199,11.985,1.998
10124,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2056.0,5990.229,5981.474,3065.494,2915.979,8757.648,105.127,54.166,-30.308,-5.067,-17.511,-0.293,...,34.411,0.269,5.753,1.185,0.573,32.291,106.1,64.719,34.405,30.313,10.82,87.767,85.535,90.157,72.902,70.691,75.269,24.564,22.737,26.406,12.31,11.082,13.385,0.032,0.935,34.384,0.041,1.194,6.136,8.029,4.125,31.62,40.559,21.12,11.468,15.051,7.582,30.072,38.737,19.87,12.8,2.14
10125,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2057.0,5972.718,5964.2,3055.92,2908.28,8732.358,105.077,54.67,-30.556,-5.123,-17.035,-0.286,...,34.891,0.261,5.85,1.192,0.577,32.291,106.1,65.447,34.8,30.647,10.973,87.881,85.653,90.271,73.014,70.807,75.38,24.656,22.831,26.502,12.374,11.141,13.456,0.032,0.92,34.864,0.041,1.176,6.055,7.929,4.064,31.16,40.031,20.794,11.315,14.871,7.473,29.635,38.234,19.563,13.513,2.266
10126,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2058.0,5955.683,5944.89,3045.315,2899.575,8704.085,105.026,55.164,-30.855,-5.19,-21.586,-0.363,...,35.301,0.252,5.938,1.197,0.579,32.291,106.1,66.156,35.189,30.967,11.128,87.995,85.77,90.387,73.126,70.923,75.495,24.749,22.925,26.601,12.439,11.201,13.528,0.032,0.906,35.274,0.041,1.158,5.972,7.828,4,30.693,39.509,20.459,11.162,14.689,7.363,29.192,37.737,19.25,9.266,1.559
10127,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2059.0,5934.097,5924.037,3033.916,2890.121,8673.553,104.975,55.642,-31.306,-5.285,-20.12,-0.34,...,35.593,0.243,6.008,1.203,0.582,32.291,106.1,66.899,35.593,31.306,11.293,88.103,85.884,90.495,73.233,71.034,75.601,24.837,23.017,26.693,12.501,11.26,13.595,0.032,0.892,35.566,0.04,1.141,5.897,7.735,3.941,30.245,39.012,20.147,11.018,14.517,7.26,28.765,37.262,18.957,11.196,1.89
10128,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2060.0,5913.977,5901.726,3021.761,2879.965,8640.887,104.924,56.104,-31.699,-5.371,-24.502,-0.415,...,35.836,0.235,6.072,1.208,0.585,32.291,106,67.535,35.949,31.586,11.443,88.227,86.013,90.618,73.354,71.162,75.722,24.937,23.121,26.798,12.572,11.327,13.672,0.031,0.877,35.809,0.04,1.122,5.81,7.627,3.873,29.743,38.449,19.799,10.857,14.322,7.143,28.287,36.726,18.632,7.196,1.219
10129,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2061.0,5889.475,5878.372,3009.05,2869.322,8606.693,104.87,56.543,-32.395,-5.511,-22.207,-0.378,...,35.888,0.227,6.105,1.213,0.587,32.291,106.1,68.283,36.371,31.913,11.616,88.335,86.127,90.727,73.461,71.273,75.83,25.025,23.212,26.891,12.635,11.386,13.741,0.031,0.864,35.862,0.04,1.105,5.734,7.531,3.817,29.3,37.956,19.498,10.718,14.15,7.042,27.866,36.257,18.349,10.185,1.733
10130,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2062.0,5867.268,5855.449,2996.495,2858.954,8573.131,104.811,56.951,-33.131,-5.658,-23.639,-0.404,...,35.902,0.222,6.131,1.218,0.589,32.291,106.1,69.033,36.796,32.237,11.789,88.446,86.243,90.839,73.57,71.387,75.94,25.114,23.305,26.987,12.699,11.446,13.811,0.031,0.851,35.876,0.039,1.088,5.658,7.438,3.758,28.853,37.462,19.187,10.579,13.978,6.939,27.439,35.785,18.058,9.49,1.621
10131,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2063.0,5843.629,5832.833,2984.017,2848.816,8540.019,104.746,57.321,-34.014,-5.831,-21.592,-0.37,...,35.789,0.217,6.136,1.222,0.592,32.291,106.1,69.803,37.252,32.551,11.967,88.556,86.355,90.953,73.679,71.498,76.052,25.203,23.396,27.084,12.763,11.504,13.884,0.03,0.838,35.763,0.038,1.072,5.584,7.347,3.7,28.418,36.981,18.881,10.442,13.812,6.836,27.024,35.326,17.769,12.421,2.129
10132,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2064.0,5822.037,5809.25,2970.981,2838.269,8505.49,104.676,57.654,-34.906,-6.009,-25.574,-0.44,...,35.668,0.216,6.14,1.228,0.594,32.291,106.1,70.574,37.706,32.868,12.149,88.67,86.471,91.07,73.79,71.612,76.168,25.295,23.489,27.185,12.829,11.565,13.959,0.029,0.825,35.643,0.038,1.055,5.506,7.256,3.638,27.977,36.497,18.56,10.302,13.643,6.728,26.605,34.863,17.47,9.335,1.607
10133,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2065.0,5796.463,5781.338,2955.74,2825.597,8464.624,104.606,57.962,-36.019,-6.23,-30.25,-0.523,...,35.354,0.214,6.115,1.233,0.597,32.291,106.1,71.373,38.165,33.208,12.345,88.783,86.589,91.184,73.902,71.728,76.28,25.386,23.585,27.283,12.895,11.628,14.032,0.029,0.811,35.33,0.037,1.038,5.427,7.158,3.58,27.542,35.999,18.254,10.162,13.467,6.625,26.191,34.389,17.182,5.765,0.997
10134,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2066.0,5766.213,5750.389,2938.927,2811.461,8419.31,104.534,58.23,-37.275,-6.482,-31.649,-0.55,...,34.92,0.213,6.073,1.239,0.6,32.291,106,72.195,38.642,33.553,12.555,88.899,86.709,91.301,74.016,71.846,76.395,25.479,23.682,27.383,12.961,11.69,14.107,0.028,0.798,34.896,0.036,1.022,5.35,7.063,3.521,27.114,35.503,17.945,10.024,13.295,6.521,25.784,33.916,16.893,5.632,0.979
10135,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2067.0,5734.564,5720.928,2922.75,2798.178,8376.176,104.452,58.41,-38.832,-6.788,-27.271,-0.477,...,34.275,0.212,5.991,1.241,0.601,32.291,106.1,73.107,39.173,33.934,12.779,89.006,86.818,91.413,74.122,71.954,76.506,25.566,23.771,27.48,13.023,11.748,14.179,0.027,0.787,34.252,0.035,1.007,5.28,6.978,3.466,26.722,35.053,17.651,9.895,13.137,6.422,25.411,33.486,16.616,11.557,2.02
10136,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2068.0,5707.293,5692.407,2906.93,2785.476,8334.417,104.36,58.482,-40.276,-7.075,-29.773,-0.523,...,33.773,0.214,5.933,1.247,0.604,32.291,106,74.049,39.72,34.329,13.008,89.115,86.93,91.526,74.229,72.063,76.618,25.655,23.86,27.577,13.085,11.807,14.252,0.026,0.773,33.751,0.034,0.99,5.205,6.888,3.407,26.325,34.595,17.352,9.764,12.976,6.321,25.036,33.051,16.337,10.504,1.845
10137,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2069.0,5677.52,5661.829,2889.996,2771.833,8289.647,104.263,58.453,-41.877,-7.396,-31.382,-0.554,...,33.153,0.217,5.856,1.252,0.606,32.291,106,75.03,40.294,34.735,13.252,89.224,87.039,91.641,74.336,72.171,76.73,25.743,23.949,27.675,13.147,11.864,14.326,0.025,0.762,33.131,0.033,0.975,5.134,6.803,3.351,25.938,34.147,17.059,9.638,12.82,6.222,24.667,32.623,16.062,10.5,1.855
10138,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2070.0,5646.138,5631.285,2872.979,2758.305,8244.927,104.157,58.332,-43.435,-7.713,-29.706,-0.528,...,32.553,0.219,5.781,1.258,0.609,32.291,106,75.988,40.839,35.149,13.494,89.338,87.157,91.756,74.449,72.288,76.844,25.837,24.045,27.775,13.213,11.928,14.401,0.024,0.75,32.532,0.032,0.96,5.061,6.713,3.296,25.544,33.676,16.768,9.506,12.654,6.123,24.293,32.173,15.788,13.721,2.437
10139,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2071.0,5616.432,5600.253,2855.62,2744.633,8199.492,104.044,58.182,-45.076,-8.049,-32.358,-0.578,...,31.942,0.222,5.704,1.262,0.611,32.291,106.1,77.018,41.439,35.579,13.753,89.448,87.268,91.871,74.557,72.397,76.958,25.927,24.135,27.875,13.274,11.986,14.476,0.024,0.738,31.922,0.031,0.945,4.99,6.628,3.24,25.167,33.232,16.473,9.38,12.499,6.023,23.935,31.75,15.512,12.726,2.272
10140,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2072.0,5584.074,5566.913,2837.015,2729.898,8150.678,103.924,58.046,-46.755,-8.399,-34.322,-0.617,...,31.342,0.226,5.63,1.267,0.613,32.291,106.1,78.097,42.059,36.038,14.029,89.552,87.374,91.979,74.66,72.501,77.065,26.012,24.221,27.968,13.333,12.043,14.546,0.023,0.727,31.323,0.03,0.931,4.924,6.548,3.189,24.817,32.813,16.203,9.261,12.351,5.932,23.602,31.349,15.257,12.436,2.234
10141,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2073.0,5549.752,5531.142,2817.117,2714.026,8098.305,103.798,57.917,-48.409,-8.753,-37.22,-0.673,...,30.734,0.23,5.556,1.27,0.615,32.291,106.1,79.143,42.653,36.49,14.309,89.662,87.486,92.091,74.768,72.612,77.175,26.103,24.313,28.065,13.395,12.104,14.62,0.022,0.715,30.715,0.029,0.916,4.854,6.464,3.133,24.451,32.373,15.923,9.134,12.196,5.836,23.255,30.929,14.996,11.173,2.02
10142,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2074.0,5512.532,5490.633,2794.791,2695.841,8038.994,103.67,57.83,-50.029,-9.112,-43.798,-0.798,...,30.187,0.232,5.498,1.275,0.617,32.291,106.1,80.216,43.265,36.951,14.61,89.771,87.597,92.203,74.875,72.721,77.286,26.193,24.403,28.162,13.456,12.163,14.694,0.021,0.704,30.169,0.028,0.902,4.784,6.378,3.081,24.091,31.935,15.65,9.01,12.041,5.742,22.915,30.512,14.74,6.239,1.136
10143,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2075.0,5468.734,5446.023,2770.357,2675.666,7973.679,103.539,57.765,-51.622,-9.478,-45.423,-0.834,...,29.624,0.236,5.44,1.281,0.62,32.291,106.1,81.246,43.837,37.408,14.918,89.885,87.713,92.318,74.987,72.835,77.399,26.288,24.498,28.262,13.52,12.228,14.771,0.021,0.693,29.607,0.027,0.888,4.716,6.294,3.028,23.731,31.493,15.375,8.883,11.885,5.648,22.572,30.089,14.481,6.208,1.14
10144,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2076.0,5423.311,5402.486,2746.361,2656.125,7909.936,103.397,57.665,-53.248,-9.856,-41.649,-0.771,...,29.06,0.238,5.379,1.283,0.622,32.291,106.1,82.308,44.429,37.879,15.235,89.996,87.826,92.433,75.098,72.947,77.513,26.381,24.59,28.361,13.582,12.289,14.846,0.02,0.682,29.043,0.026,0.874,4.648,6.213,2.975,23.374,31.061,15.097,8.759,11.733,5.553,22.233,29.676,14.22,11.591,2.146
10145,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2077.0,5381.662,5358.724,2722.17,2636.553,7845.862,103.247,57.554,-54.68,-10.204,-45.877,-0.856,...,28.685,0.241,5.353,1.286,0.623,32.291,106.1,83.365,45.015,38.351,15.557,90.107,87.936,92.547,75.207,73.056,77.625,26.474,24.681,28.46,13.644,12.35,14.922,0.019,0.671,28.669,0.025,0.86,4.581,6.135,2.92,23.029,30.647,14.825,8.638,11.586,5.459,21.906,29.279,13.966,8.804,1.643
10146,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2078.0,5335.785,5311.673,2696.291,2615.381,7776.974,103.094,57.471,-56.067,-10.556,-48.224,-0.908,...,28.383,0.243,5.343,1.291,0.625,32.291,106.1,84.45,45.605,38.845,15.899,90.213,88.044,92.654,75.311,73.162,77.731,26.563,24.769,28.554,13.703,12.408,14.995,0.019,0.662,28.367,0.024,0.848,4.52,6.059,2.874,22.702,30.241,14.577,8.523,11.443,5.374,21.595,28.891,13.732,7.848,1.478
10147,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2079.0,5287.561,5261.722,2668.92,2592.802,7703.84,102.936,57.395,-57.395,-10.908,-51.677,-0.982,...,28.107,0.246,5.342,1.294,0.627,32.291,106,85.502,46.171,39.331,16.25,90.318,88.149,92.763,75.415,73.266,77.839,26.651,24.855,28.649,13.761,12.466,15.068,0.018,0.652,28.091,0.024,0.836,4.459,5.985,2.827,22.384,29.852,14.324,8.411,11.305,5.287,21.293,28.518,13.493,5.714,1.086
10148,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2080.0,5235.884,5209.688,2640.468,2569.22,7627.654,102.773,57.316,-58.533,-11.236,-52.392,-1.006,...,27.869,0.246,5.349,1.298,0.629,32.291,106,86.402,46.652,39.75,16.585,90.432,88.263,92.88,75.528,73.378,77.954,26.748,24.949,28.752,13.827,12.531,15.148,0.018,0.643,27.854,0.023,0.824,4.396,5.906,2.778,22.05,29.436,14.065,8.291,11.156,5.198,20.975,28.12,13.249,6.143,1.179
10149,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2081.0,5183.492,5156.376,2611.345,2545.031,7549.598,102.606,57.252,-59.639,-11.566,-54.233,-1.052,...,27.691,0.246,5.37,1.3,0.63,32.291,106.1,87.33,47.139,40.191,16.936,90.539,88.369,92.99,75.633,73.483,78.063,26.838,25.036,28.848,13.887,12.589,15.222,0.018,0.633,27.676,0.023,0.812,4.335,5.833,2.732,21.733,29.045,13.815,8.179,11.018,5.112,20.673,27.746,13.013,5.394,1.046
10150,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2082.0,5129.259,5101.496,2581.419,2520.077,7469.247,102.434,57.22,-60.59,-11.877,-55.526,-1.088,...,27.58,0.245,5.406,1.303,0.631,32.291,106,88.17,47.562,40.607,17.283,90.644,88.473,93.097,75.737,73.586,78.169,26.927,25.122,28.942,13.947,12.648,15.296,0.017,0.625,27.565,0.022,0.8,4.277,5.761,2.688,21.428,28.666,13.579,8.071,10.883,5.03,20.383,27.383,12.79,5.078,0.995
10151,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2083.0,5073.733,5046.181,2551.268,2494.914,7388.26,102.259,57.199,-61.376,-12.162,-55.103,-1.092,...,27.54,0.244,5.458,1.307,0.633,32.291,106,88.916,47.925,40.991,17.62,90.749,88.576,93.205,75.841,73.688,78.276,27.017,25.207,29.037,14.008,12.706,15.37,0.017,0.615,27.526,0.022,0.788,4.218,5.691,2.641,21.123,28.296,13.341,7.963,10.751,4.947,20.093,27.028,12.567,6.27,1.243
10152,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2084.0,5018.63,4991.237,2521.314,2469.923,7307.814,102.081,57.18,-61.975,-12.417,-54.786,-1.098,...,27.591,0.244,5.528,1.312,0.636,32.291,106,89.566,48.208,41.358,17.945,90.856,88.682,93.313,75.946,73.792,78.383,27.107,25.294,29.131,14.07,12.764,15.442,0.017,0.606,27.577,0.021,0.777,4.159,5.618,2.596,20.809,27.914,13.099,7.854,10.615,4.865,19.794,26.663,12.339,7.185,1.439
10153,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2085.0,4963.844,4935.581,2491.055,2444.526,7226.327,101.903,57.169,-62.304,-12.623,-56.526,-1.145,...,27.703,0.241,5.613,1.317,0.638,32.291,106.1,90.007,48.356,41.652,18.236,90.966,88.794,93.422,76.056,73.902,78.49,27.202,25.387,29.227,14.137,12.828,15.518,0.017,0.597,27.689,0.021,0.766,4.1,5.543,2.553,20.496,27.522,12.869,7.743,10.474,4.784,19.496,26.288,12.121,5.779,1.171
10154,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2086.0,4907.318,4878.38,2460.108,2418.271,7142.577,101.73,57.171,-62.599,-12.832,-57.876,-1.186,...,27.744,0.238,5.687,1.318,0.638,32.291,106.1,90.343,48.445,41.898,18.519,91.075,88.901,93.53,76.163,74.008,78.597,27.294,25.475,29.322,14.203,12.888,15.594,0.016,0.589,27.73,0.021,0.754,4.042,5.471,2.51,20.191,27.144,12.642,7.635,10.34,4.705,19.206,25.926,11.907,4.718,0.967
10155,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2087.0,4849.442,4821.057,2429.193,2391.865,7058.649,101.561,57.172,-62.613,-12.987,-56.769,-1.178,...,27.847,0.235,5.776,1.322,0.64,32.291,106.1,90.46,48.387,42.072,18.763,91.189,89.014,93.643,76.276,74.12,78.71,27.392,25.569,29.422,14.273,12.952,15.671,0.016,0.579,27.833,0.021,0.743,3.981,5.396,2.465,19.87,26.748,12.4,7.522,10.198,4.622,18.9,25.547,11.679,5.851,1.214
10156,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2088.0,4792.673,4764.824,2398.914,2365.91,6976.316,101.395,57.163,-62.389,-13.094,-55.698,-1.169,...,27.97,0.232,5.87,1.325,0.642,32.291,106,90.359,48.234,42.125,18.964,91.3,89.12,93.757,76.386,74.224,78.822,27.487,25.656,29.523,14.343,13.013,15.752,0.016,0.571,27.956,0.02,0.732,3.924,5.326,2.422,19.572,26.384,12.17,7.416,10.067,4.541,18.616,25.199,11.461,6.688,1.404
10157,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2089.0,4736.975,4707.955,2368.445,2339.51,6893.053,101.237,57.154,-62.01,-13.171,-58.04,-1.233,...,28.101,0.227,5.969,1.328,0.644,32.291,106,90.111,47.967,42.144,19.14,91.411,89.23,93.866,76.496,74.333,78.93,27.582,25.746,29.618,14.411,13.073,15.826,0.016,0.56,28.088,0.02,0.718,3.861,5.247,2.375,19.258,25.994,11.936,7.304,9.928,4.459,18.32,24.828,11.242,3.964,0.842
10158,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2090.0,4678.935,4651.262,2338.207,2313.055,6810.047,101.087,57.14,-61.348,-13.19,-55.346,-1.19,...,28.141,0.223,6.05,1.33,0.645,32.291,106,89.489,47.506,41.983,19.24,91.529,89.343,93.986,76.613,74.444,79.048,27.684,25.84,29.725,14.488,13.14,15.913,0.016,0.552,28.128,0.02,0.707,3.801,5.174,2.331,18.95,25.614,11.703,7.194,9.789,4.377,18.027,24.465,11.022,6.005,1.291
10159,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2091.0,4623.589,4596.28,2308.977,2287.304,6729.547,100.948,57.108,-60.526,-13.168,-54.617,-1.188,...,28.252,0.219,6.147,1.334,0.646,32.291,106,88.778,46.969,41.81,19.315,91.64,89.449,94.097,76.722,74.55,79.158,27.779,25.929,29.823,14.559,13.2,15.99,0.015,0.543,28.239,0.02,0.696,3.745,5.104,2.288,18.655,25.252,11.477,7.088,9.659,4.298,17.746,24.118,10.809,5.907,1.285
10160,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2092.0,4568.972,4543.642,2281.09,2262.552,6652.478,100.819,57.054,-59.488,-13.093,-50.659,-1.115,...,28.317,0.216,6.232,1.337,0.648,32.291,106,87.805,46.284,41.522,19.325,91.754,89.558,94.21,76.835,74.657,79.27,27.877,26.019,29.923,14.632,13.263,16.07,0.015,0.534,28.304,0.019,0.685,3.688,5.033,2.245,18.358,24.886,11.25,6.982,9.528,4.218,17.462,23.768,10.594,8.836,1.945
